rank,address,status,score,trades30d,pnl30d,winRate,consistency,maxDrawdown,daysSinceLastTrade,firstSeenGeneration,reason
1,0x204f72f35326db932158cba6adff0b9a1da95e14,watch,0.7300,500,0.2700,0.6400,0.3200,0.1500,1,0,"global score 0.73 above threshold 0.5, copyable"
2,0x09b428f7c2b469786286214aa5c90dd9015f7320,watch,0.7400,500,1.0401,1.0000,0.5000,0.1500,1,0,"global score 0.74 above threshold 0.5, copyable"
3,0x476e1322d1a412fa0325527b8c3bc5e707b1396d,watch,0.7400,500,0.9965,1.0000,0.5000,0.1500,1,0,"global score 0.74 above threshold 0.5, copyable"
4,0x2e25b222e2080c377fc1fb2b9f926315f0f4d49e,watch,0.8200,500,0.7094,1.0000,0.5000,0.1500,1,0,"global score 0.82 above threshold 0.5, copyable"
5,0xe549581668a5751c1972d3ad2d1991d900bd2d54,watch,0.6100,500,0.1629,0.6300,0.3100,0.1500,1,0,"global score 0.61 above threshold 0.5, copyable"
6,0x83720820a8aa6c3f20ad71850e7a1a17d16c5223,watch,0.3100,500,-1.0000,0.0000,0.0000,0.1500,1,0,"weak score 0.31; spreads usually wide"
7,0x5b4ec9c06b284ee52c41a761974d836992880232,watch,0.7800,500,0.6930,1.0000,0.5000,0.1500,1,0,"global score 0.78 above threshold 0.5, copyable"
8,0x67542c3219b37fd1610aad290676ff91cdbfe3bc,watch,0.7100,500,0.3511,1.0000,0.5000,0.1500,1,0,"global score 0.71 above threshold 0.5, copyable"
9,0xf0318c32136c2db7fec88b84869aee6a1106c80c,watch,0.3700,500,-0.4875,0.1100,0.0600,0.1500,1,0,"borderline score 0.37; no copyability concerns detected"
10,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,watch,0.5300,500,-0.0289,0.6400,0.3200,0.1500,1,0,"global score 0.53 above threshold 0.5, copyable"
11,0xfea31bc088000ff909be1dfd8d0e3f2c7ef2d227,watch,0.5500,470,0.0278,0.9400,0.4700,0.1500,1,0,"global score 0.55 above threshold 0.5, copyable"
12,0x095fbca2e0eaf0c9841005135427e1e0117190b2,watch,0.3200,500,-0.9336,0.0200,0.0100,0.1500,1,0,"weak score 0.32; spreads usually wide"
13,0x7c1ee865a785de4c00ee90ed86a38489fb8bbab3,watch,0.3300,500,-1.0000,0.0000,0.0000,0.1500,1,0,"weak score 0.33; spreads usually wide"
14,0xd1c537b2a7cba8d365e111bffb9de7b205e2cbd0,watch,0.7400,500,1.3087,1.0000,0.5000,0.1500,1,0,"global score 0.74 above threshold 0.5, copyable"
15,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,watch,0.5100,167,0.0196,0.3100,0.1500,0.1500,1,0,"global score 0.51 above threshold 0.5, copyable"
